id,caracteristica_fisica,metrica_performance,coef_correlacao_pearson,r_quadrado,p_value,significativo_estatisticamente,n_amostras,interpretacao,implicacao_pratica
41,agilidade,taxa_defesa_global,0.321,0.103,0.0469,True,81,Correlação Fraca,Positiva - correlação fraca
42,agilidade,taxa_defesa_zona_alta,0.481,0.232,0.0836,False,113,Correlação Fraca,Positiva - correlação fraca
43,agilidade,taxa_defesa_zona_media,-0.126,0.016,0.0334,True,180,Sem Correlação,Negativa - sem correlação
44,agilidade,taxa_defesa_zona_baixa,0.088,0.008,0.0583,False,73,Sem Correlação,Positiva - sem correlação
45,agilidade,eficacia_vs_remates_rapidos,0.702,0.493,0.1413,False,66,Correlação Forte,Positiva - correlação forte
46,agilidade,eficacia_vs_remates_potentes,0.571,0.326,0.1236,False,94,Correlação Moderada,Positiva - correlação moderada
47,agilidade,performance_sob_pressao,-0.278,0.077,0.0377,True,88,Sem Correlação,Negativa - sem correlação
48,agilidade,consistencia_temporal,-0.09,0.008,0.1007,False,178,Sem Correlação,Negativa - sem correlação
49,amplitude_split,taxa_defesa_global,0.083,0.007,0.0977,False,120,Sem Correlação,Positiva - sem correlação
50,amplitude_split,taxa_defesa_zona_alta,-0.177,0.031,0.0216,True,168,Sem Correlação,Negativa - sem correlação
51,amplitude_split,taxa_defesa_zona_media,0.172,0.029,0.0017,True,188,Sem Correlação,Positiva - sem correlação
52,amplitude_split,taxa_defesa_zona_baixa,-0.021,0.0,0.1446,False,122,Sem Correlação,Negativa - sem correlação
53,amplitude_split,eficacia_vs_remates_rapidos,-0.069,0.005,0.027,True,92,Sem Correlação,Negativa - sem correlação
54,amplitude_split,eficacia_vs_remates_potentes,0.468,0.219,0.1493,False,92,Correlação Fraca,Positiva - correlação fraca
55,amplitude_split,performance_sob_pressao,0.121,0.015,0.1212,False,133,Sem Correlação,Positiva - sem correlação
56,amplitude_split,consistencia_temporal,-0.263,0.069,0.0662,False,99,Sem Correlação,Negativa - sem correlação
57,anos_experiencia,taxa_defesa_global,0.543,0.294,0.0766,False,78,Correlação Moderada,Positiva - correlação moderada
58,anos_experiencia,taxa_defesa_zona_alta,-0.23,0.053,0.0444,True,163,Sem Correlação,Negativa - sem correlação
59,anos_experiencia,taxa_defesa_zona_media,0.407,0.166,0.055,False,144,Correlação Fraca,Positiva - correlação fraca
60,anos_experiencia,taxa_defesa_zona_baixa,0.23,0.053,0.1215,False,68,Sem Correlação,Positiva - sem correlação
61,anos_experiencia,eficacia_vs_remates_rapidos,0.465,0.216,0.0761,False,199,Correlação Fraca,Positiva - correlação fraca
62,anos_experiencia,eficacia_vs_remates_potentes,0.062,0.004,0.1311,False,150,Sem Correlação,Positiva - sem correlação
63,anos_experiencia,performance_sob_pressao,0.414,0.171,0.0923,False,198,Correlação Fraca,Positiva - correlação fraca
64,anos_experiencia,consistencia_temporal,0.17,0.029,0.0396,True,192,Sem Correlação,Positiva - sem correlação
