id,jogo_id,zona_baliza_id,zona_baliza_nome,distancia_remate_m,velocidade_remate_kmh,tipo_remate,posicao_ofensiva,minuto_jogo,fase_jogo,tempo_desde_ultima_defesa_s,resultado,diferenca_golos_momento,inferioridade_numerica
67,2,2,Superior Centro,7.0,110.4,7 metros,Extremo Direito,35,2ºT,21,Golo,-5,False
68,2,5,Média Centro,9.3,111.9,Apoio,Extremo Direito,1,1ºT,105,Defesa,5,False
69,2,9,Inferior Direita,7.0,111.7,7 metros,Lateral Direito,53,2ºT,129,Golo,-4,False
70,2,4,Média Esquerda,6.6,95.6,Penetração,Central,38,2ºT,78,Golo,0,False
71,2,5,Média Centro,6.2,89.7,Apoio,Extremo Direito,43,2ºT,96,Defesa,-4,True
72,2,7,Inferior Esquerda,7.9,90.4,Penetração,Extremo Direito,18,1ºT,55,Golo,5,False
73,2,6,Média Direita,7.1,112.2,Suspensão,Extremo Direito,8,1ºT,22,Golo,-1,False
74,2,4,Média Esquerda,8.9,99.9,Suspensão,Central,52,2ºT,26,Golo,1,False
75,2,1,Superior Esquerda,9.7,94.0,Rectaguarda,Lateral Esquerdo,2,1ºT,22,Golo,4,False
76,2,2,Superior Centro,9.0,108.1,Apoio,Pivot,43,2ºT,176,Golo,-3,False
77,2,3,Superior Direita,6.8,95.0,Apoio,Central,32,2ºT,148,Golo,2,False
78,2,3,Superior Direita,6.1,107.7,Rectaguarda,Extremo Esquerdo,27,1ºT,31,Golo,-2,False
79,2,6,Média Direita,9.6,97.9,Suspensão,Pivot,51,2ºT,161,Golo,-5,False
80,2,4,Média Esquerda,7.0,112.6,7 metros,Extremo Esquerdo,29,1ºT,130,Golo,4,False
81,2,8,Inferior Centro,8.7,104.7,Penetração,Extremo Esquerdo,12,1ºT,179,Defesa,4,False
82,2,9,Inferior Direita,8.8,117.9,Contra-ataque,Extremo Esquerdo,24,1ºT,61,Golo,-2,False
83,2,5,Média Centro,6.5,89.7,Penetração,Pivot,24,1ºT,95,Golo,4,True
84,2,8,Inferior Centro,7.0,103.0,7 metros,Extremo Direito,2,1ºT,102,Defesa,-5,False
85,2,5,Média Centro,7.3,88.7,Rectaguarda,Central,55,2ºT,27,Golo,-3,False
86,2,7,Inferior Esquerda,8.6,100.3,Penetração,Extremo Direito,58,2ºT,133,Defesa,-2,False
87,2,9,Inferior Direita,6.7,86.1,Suspensão,Central,6,1ºT,29,Golo,-5,True
88,2,4,Média Esquerda,6.4,112.9,Rectaguarda,Pivot,33,2ºT,26,Defesa,-5,False
89,2,2,Superior Centro,7.0,111.1,Suspensão,Lateral Esquerdo,25,1ºT,103,Golo,-2,False
90,2,2,Superior Centro,7.0,86.3,Suspensão,Central,35,2ºT,50,Golo,-3,False
91,2,3,Superior Direita,7.2,100.4,Penetração,Central,60,2ºT,176,Golo,-5,False
92,2,3,Superior Direita,9.3,90.6,Contra-ataque,Lateral Direito,54,2ºT,52,Golo,-2,False
93,2,6,Média Direita,8.9,111.5,Contra-ataque,Pivot,53,2ºT,127,Golo,-5,False
94,2,6,Média Direita,8.8,101.9,Apoio,Extremo Esquerdo,33,2ºT,82,Defesa,3,False
95,2,2,Superior Centro,8.5,108.6,Penetração,Lateral Direito,12,1ºT,12,Golo,-2,False
96,2,6,Média Direita,10.3,86.7,Contra-ataque,Extremo Esquerdo,26,1ºT,141,Golo,4,False
97,2,3,Superior Direita,8.4,104.7,Apoio,Extremo Esquerdo,38,2ºT,9,Golo,-4,False
98,2,8,Inferior Centro,8.1,86.5,Suspensão,Extremo Direito,53,2ºT,77,Defesa,-1,False
99,2,6,Média Direita,6.7,102.8,Rectaguarda,Extremo Direito,52,2ºT,157,Golo,2,False
100,2,1,Superior Esquerda,8.1,115.4,Contra-ataque,Central,41,2ºT,119,Defesa,-1,False
101,2,1,Superior Esquerda,10.0,107.4,Penetração,Lateral Esquerdo,54,2ºT,43,Golo,-3,False
102,2,6,Média Direita,10.6,97.4,Contra-ataque,Extremo Esquerdo,24,1ºT,102,Golo,-3,True
103,3,4,Média Esquerda,7.4,106.5,Suspensão,Lateral Esquerdo,16,1ºT,90,Golo,5,False
104,3,4,Média Esquerda,9.8,92.4,Suspensão,Lateral Direito,1,1ºT,12,Defesa,5,True
105,3,9,Inferior Direita,7.4,113.5,Penetração,Pivot,11,1ºT,130,Defesa,-1,False
106,3,5,Média Centro,7.0,117.4,7 metros,Extremo Direito,12,1ºT,151,Golo,0,False
107,3,1,Superior Esquerda,9.0,86.7,Suspensão,Extremo Esquerdo,5,1ºT,25,Golo,3,False
108,3,4,Média Esquerda,9.7,99.5,Rectaguarda,Extremo Esquerdo,26,1ºT,73,Golo,2,False
109,3,3,Superior Direita,8.4,114.3,Rectaguarda,Pivot,6,1ºT,98,Defesa,3,False
110,3,3,Superior Direita,6.6,116.8,Apoio,Pivot,31,2ºT,88,Defesa,-1,False
111,3,3,Superior Direita,6.9,87.7,Apoio,Extremo Direito,31,2ºT,154,Golo,1,False
112,3,9,Inferior Direita,10.3,90.7,Contra-ataque,Extremo Direito,9,1ºT,82,Golo,4,False
113,3,5,Média Centro,8.1,116.9,Contra-ataque,Pivot,47,2ºT,164,Defesa,-5,False
114,3,4,Média Esquerda,7.2,104.3,Penetração,Extremo Direito,48,2ºT,89,Golo,-5,True
115,3,6,Média Direita,9.7,94.4,Apoio,Extremo Esquerdo,9,1ºT,106,Defesa,2,False
116,3,7,Inferior Esquerda,7.0,111.7,7 metros,Extremo Direito,27,1ºT,138,Defesa,-5,False
117,3,7,Inferior Esquerda,9.0,100.7,Contra-ataque,Lateral Direito,47,2ºT,23,Golo,-5,False
118,3,2,Superior Centro,10.4,104.5,Contra-ataque,Pivot,55,2ºT,31,Defesa,3,True
119,3,8,Inferior Centro,7.0,110.2,7 metros,Pivot,16,1ºT,36,Golo,5,False
120,3,2,Superior Centro,9.6,108.0,Rectaguarda,Extremo Direito,6,1ºT,136,Defesa,5,False
121,3,1,Superior Esquerda,7.1,97.9,Suspensão,Pivot,55,2ºT,11,Defesa,-3,False
122,3,4,Média Esquerda,7.0,108.8,7 metros,Lateral Direito,37,2ºT,146,Golo,-2,False
123,3,5,Média Centro,9.4,116.0,Apoio,Extremo Esquerdo,9,1ºT,19,Defesa,-1,False
124,3,5,Média Centro,7.9,114.9,Apoio,Extremo Esquerdo,21,1ºT,180,Defesa,-3,False
125,3,5,Média Centro,7.0,95.5,7 metros,Lateral Esquerdo,34,2ºT,77,Defesa,0,False
126,3,6,Média Direita,9.2,91.3,Apoio,Pivot,34,2ºT,12,Defesa,-5,True
127,3,5,Média Centro,6.3,97.2,Penetração,Lateral Direito,13,1ºT,162,Golo,5,False
128,3,8,Inferior Centro,8.9,103.4,Contra-ataque,Central,28,1ºT,105,Golo,3,False
129,3,3,Superior Direita,6.1,86.4,Suspensão,Lateral Direito,41,2ºT,139,Defesa,1,False
130,3,9,Inferior Direita,8.8,102.1,Rectaguarda,Pivot,10,1ºT,31,Golo,-3,False
131,3,2,Superior Centro,9.5,114.5,Penetração,Central,33,2ºT,79,Golo,3,False
132,3,8,Inferior Centro,9.0,112.0,Rectaguarda,Pivot,35,2ºT,32,Defesa,5,False
133,3,5,Média Centro,9.7,90.9,Apoio,Lateral Direito,40,2ºT,81,Defesa,1,False
134,3,9,Inferior Direita,7.0,114.8,7 metros,Lateral Esquerdo,55,2ºT,137,Defesa,-4,True
135,3,9,Inferior Direita,7.0,115.6,7 metros,Pivot,30,1ºT,86,Golo,1,False
136,3,1,Superior Esquerda,6.0,86.8,Rectaguarda,Central,34,2ºT,91,Defesa,4,False
137,3,3,Superior Direita,10.0,117.3,Apoio,Extremo Direito,56,2ºT,86,Golo,5,False
138,3,1,Superior Esquerda,9.7,114.1,Rectaguarda,Extremo Esquerdo,9,1ºT,80,Golo,4,False
139,3,1,Superior Esquerda,7.0,116.3,7 metros,Central,25,1ºT,84,Golo,1,False
140,3,1,Superior Esquerda,7.0,89.9,7 metros,Lateral Direito,11,1ºT,95,Golo,-1,False
141,3,2,Superior Centro,7.2,117.3,Rectaguarda,Pivot,2,1ºT,99,Golo,-3,True
142,3,7,Inferior Esquerda,8.3,88.9,Penetração,Extremo Direito,16,1ºT,178,Golo,-4,False
143,3,5,Média Centro,8.5,101.8,Contra-ataque,Lateral Esquerdo,42,2ºT,158,Golo,-3,False
144,3,2,Superior Centro,7.0,98.4,7 metros,Extremo Esquerdo,22,1ºT,58,Golo,4,True
145,3,3,Superior Direita,10.4,117.5,Contra-ataque,Pivot,11,1ºT,99,Golo,-5,False
146,3,9,Inferior Direita,7.0,101.8,Apoio,Lateral Direito,19,1ºT,176,Golo,3,False
147,3,6,Média Direita,8.0,94.6,Apoio,Extremo Esquerdo,8,1ºT,38,Golo,1,True
148,3,8,Inferior Centro,9.2,104.7,Suspensão,Lateral Direito,7,1ºT,15,Golo,-2,False
149,3,5,Média Centro,6.4,106.7,Suspensão,Lateral Direito,35,2ºT,108,Defesa,2,False
150,3,6,Média Direita,7.8,106.0,Suspensão,Central,27,1ºT,62,Defesa,2,False
151,3,9,Inferior Direita,7.0,86.3,7 metros,Extremo Direito,31,2ºT,44,Golo,-2,False
152,3,2,Superior Centro,6.3,85.7,Apoio,Pivot,48,2ºT,37,Defesa,1,False
153,3,1,Superior Esquerda,7.2,86.8,Penetração,Extremo Direito,31,2ºT,159,Golo,3,False
154,3,7,Inferior Esquerda,8.0,91.4,Suspensão,Pivot,49,2ºT,7,Golo,2,False
155,3,9,Inferior Direita,6.8,90.3,Penetração,Pivot,47,2ºT,162,Golo,-4,False
156,3,5,Média Centro,10.3,105.6,Contra-ataque,Extremo Esquerdo,4,1ºT,155,Golo,1,False
157,3,3,Superior Direita,7.0,88.5,7 metros,Extremo Direito,54,2ºT,109,Golo,4,False
158,3,6,Média Direita,7.0,97.3,7 metros,Pivot,25,1ºT,113,Defesa,5,False
159,3,4,Média Esquerda,7.3,113.0,Penetração,Extremo Direito,17,1ºT,159,Defesa,0,False
160,3,6,Média Direita,11.0,95.7,Contra-ataque,Extremo Esquerdo,54,2ºT,6,Defesa,5,True
161,3,4,Média Esquerda,9.8,114.3,Penetração,Extremo Esquerdo,59,2ºT,63,Golo,3,False
162,3,3,Superior Direita,6.1,98.7,Rectaguarda,Pivot,2,1ºT,35,Golo,0,False
163,3,5,Média Centro,6.7,96.0,Apoio,Central,50,2ºT,32,Defesa,4,False
164,3,6,Média Direita,7.0,98.5,7 metros,Lateral Direito,11,1ºT,117,Golo,2,False
165,3,1,Superior Esquerda,9.5,114.3,Rectaguarda,Extremo Direito,59,2ºT,62,Golo,-3,False
166,3,3,Superior Direita,7.4,87.7,Apoio,Lateral Esquerdo,32,2ºT,5,Defesa,0,False
167,3,9,Inferior Direita,8.6,108.3,Contra-ataque,Extremo Direito,57,2ºT,136,Golo,-3,False
168,4,6,Média Direita,8.6,90.3,Suspensão,Extremo Direito,57,2ºT,175,Defesa,-3,True
169,4,3,Superior Direita,7.0,114.9,7 metros,Central,51,2ºT,150,Golo,1,False
170,4,7,Inferior Esquerda,8.7,97.8,Suspensão,Extremo Esquerdo,42,2ºT,177,Golo,4,False
171,4,5,Média Centro,7.3,117.6,Rectaguarda,Lateral Esquerdo,34,2ºT,30,Golo,-4,False
172,4,6,Média Direita,7.1,113.2,Rectaguarda,Extremo Esquerdo,50,2ºT,28,Defesa,2,False
173,4,1,Superior Esquerda,8.9,114.8,Apoio,Lateral Esquerdo,41,2ºT,64,Defesa,4,False
174,4,3,Superior Direita,8.2,101.0,Penetração,Central,16,1ºT,116,Golo,5,False
175,4,2,Superior Centro,9.6,96.5,Contra-ataque,Extremo Esquerdo,29,1ºT,83,Defesa,-2,False
176,4,6,Média Direita,7.0,100.2,7 metros,Pivot,42,2ºT,162,Golo,0,False
177,4,2,Superior Centro,8.9,114.0,Penetração,Extremo Direito,38,2ºT,50,Golo,-4,False
178,4,7,Inferior Esquerda,9.0,106.2,Apoio,Lateral Esquerdo,31,2ºT,92,Golo,-4,False
179,4,7,Inferior Esquerda,7.0,86.9,7 metros,Pivot,6,1ºT,69,Golo,2,False
180,4,9,Inferior Direita,9.1,112.7,Apoio,Lateral Esquerdo,25,1ºT,27,Defesa,-2,False
181,4,8,Inferior Centro,7.5,102.0,Rectaguarda,Central,53,2ºT,144,Defesa,-4,True
182,4,5,Média Centro,6.7,96.1,Rectaguarda,Extremo Esquerdo,59,2ºT,140,Defesa,2,False
183,4,9,Inferior Direita,8.7,114.2,Suspensão,Lateral Direito,39,2ºT,147,Defesa,-2,False
184,4,9,Inferior Direita,7.0,107.1,7 metros,Pivot,1,1ºT,87,Defesa,-4,False
185,4,7,Inferior Esquerda,6.6,114.5,Penetração,Central,16,1ºT,111,Defesa,4,False
186,4,9,Inferior Direita,10.4,97.9,Contra-ataque,Central,12,1ºT,30,Golo,2,False
187,4,7,Inferior Esquerda,9.5,108.3,Apoio,Central,43,2ºT,74,Defesa,-1,False
188,4,1,Superior Esquerda,6.7,104.9,Rectaguarda,Lateral Esquerdo,39,2ºT,137,Golo,-4,False
189,4,8,Inferior Centro,8.4,90.4,Suspensão,Pivot,49,2ºT,145,Golo,4,False
190,4,2,Superior Centro,9.4,88.5,Contra-ataque,Extremo Direito,49,2ºT,34,Defesa,-2,False
191,4,9,Inferior Direita,8.2,116.1,Rectaguarda,Central,58,2ºT,164,Golo,0,False
192,4,9,Inferior Direita,7.8,97.5,Penetração,Extremo Direito,17,1ºT,137,Golo,-3,False
193,4,8,Inferior Centro,6.1,104.7,Suspensão,Extremo Esquerdo,3,1ºT,160,Defesa,4,False
194,4,4,Média Esquerda,7.1,88.4,Suspensão,Lateral Direito,19,1ºT,45,Defesa,4,False
195,4,8,Inferior Centro,8.5,87.5,Contra-ataque,Extremo Direito,51,2ºT,33,Defesa,-2,False
196,4,9,Inferior Direita,9.5,106.3,Penetração,Pivot,40,2ºT,122,Defesa,-5,False
197,4,9,Inferior Direita,8.2,86.7,Rectaguarda,Lateral Esquerdo,45,2ºT,140,Golo,-5,False
198,4,5,Média Centro,9.7,95.2,Rectaguarda,Lateral Esquerdo,42,2ºT,78,Defesa,0,False
199,4,5,Média Centro,7.9,94.2,Rectaguarda,Extremo Esquerdo,13,1ºT,76,Defesa,-3,False
200,4,4,Média Esquerda,7.5,99.0,Rectaguarda,Lateral Direito,34,2ºT,120,Defesa,-3,False
201,4,8,Inferior Centro,7.0,111.3,7 metros,Lateral Direito,55,2ºT,120,Golo,-4,False
202,4,7,Inferior Esquerda,8.7,86.4,Suspensão,Pivot,54,2ºT,33,Golo,5,True
203,4,8,Inferior Centro,8.4,108.6,Rectaguarda,Extremo Direito,46,2ºT,131,Defesa,-2,False
204,4,3,Superior Direita,7.0,112.7,7 metros,Extremo Direito,1,1ºT,169,Defesa,-2,False
205,4,9,Inferior Direita,6.9,89.7,Apoio,Pivot,1,1ºT,52,Golo,5,False
206,4,3,Superior Direita,9.6,116.2,Contra-ataque,Central,60,2ºT,161,Golo,-4,False
207,4,9,Inferior Direita,8.3,110.8,Rectaguarda,Lateral Direito,33,2ºT,52,Defesa,4,False
208,4,4,Média Esquerda,10.5,109.1,Contra-ataque,Lateral Esquerdo,47,2ºT,128,Golo,2,False
209,4,4,Média Esquerda,6.2,106.7,Penetração,Pivot,15,1ºT,57,Defesa,-3,False
210,4,9,Inferior Direita,6.4,86.3,Penetração,Pivot,37,2ºT,171,Golo,1,False
211,4,4,Média Esquerda,7.0,105.9,7 metros,Extremo Direito,41,2ºT,37,Defesa,2,False
212,4,2,Superior Centro,6.2,102.7,Penetração,Extremo Direito,24,1ºT,106,Golo,-3,False
213,4,6,Média Direita,8.7,90.7,Penetração,Lateral Direito,42,2ºT,96,Defesa,1,False
214,5,6,Média Direita,7.0,86.9,7 metros,Central,17,1ºT,40,Defesa,-3,False
215,5,2,Superior Centro,6.7,93.6,Penetração,Central,13,1ºT,137,Defesa,5,False
216,5,2,Superior Centro,7.0,111.3,7 metros,Central,52,2ºT,113,Golo,2,False
217,5,8,Inferior Centro,10.2,86.5,Contra-ataque,Extremo Esquerdo,24,1ºT,105,Defesa,-4,False
218,5,1,Superior Esquerda,9.6,94.3,Apoio,Lateral Direito,39,2ºT,31,Defesa,-1,False
219,5,9,Inferior Direita,9.3,88.4,Contra-ataque,Central,9,1ºT,58,Golo,2,False
220,5,5,Média Centro,7.0,93.5,7 metros,Lateral Direito,19,1ºT,161,Defesa,1,False
221,5,9,Inferior Direita,8.4,105.2,Suspensão,Lateral Esquerdo,52,2ºT,8,Defesa,-3,False
222,5,7,Inferior Esquerda,7.4,94.3,Apoio,Extremo Esquerdo,53,2ºT,95,Defesa,-4,False
223,5,2,Superior Centro,6.4,98.8,Apoio,Central,41,2ºT,69,Defesa,-3,False
224,5,5,Média Centro,9.0,98.6,Rectaguarda,Extremo Direito,11,1ºT,49,Golo,-5,False
225,5,9,Inferior Direita,10.0,88.4,Contra-ataque,Central,9,1ºT,76,Defesa,-4,False
226,5,9,Inferior Direita,10.0,104.6,Contra-ataque,Pivot,26,1ºT,153,Golo,-1,False
227,5,4,Média Esquerda,7.0,116.7,7 metros,Extremo Esquerdo,32,2ºT,58,Defesa,-4,False
228,5,9,Inferior Direita,6.6,117.7,Penetração,Lateral Esquerdo,11,1ºT,51,Golo,4,True
229,5,4,Média Esquerda,8.4,115.2,Contra-ataque,Extremo Direito,14,1ºT,128,Golo,3,True
230,5,5,Média Centro,8.1,101.9,Penetração,Extremo Direito,51,2ºT,50,Defesa,-4,False
231,5,3,Superior Direita,8.6,101.0,Contra-ataque,Extremo Direito,14,1ºT,47,Golo,-4,False
232,5,6,Média Direita,10.0,104.1,Apoio,Lateral Direito,24,1ºT,35,Golo,2,False
233,5,4,Média Esquerda,7.0,97.8,7 metros,Lateral Direito,49,2ºT,83,Golo,5,False
234,5,3,Superior Direita,9.2,104.3,Rectaguarda,Extremo Esquerdo,33,2ºT,6,Defesa,-5,True
235,5,7,Inferior Esquerda,9.3,103.3,Contra-ataque,Lateral Direito,1,1ºT,51,Defesa,-5,False
236,5,5,Média Centro,6.7,95.9,Rectaguarda,Extremo Direito,2,1ºT,107,Defesa,-2,False
237,5,9,Inferior Direita,8.2,92.2,Contra-ataque,Lateral Esquerdo,47,2ºT,69,Golo,5,False
238,5,2,Superior Centro,7.0,94.4,7 metros,Lateral Esquerdo,5,1ºT,14,Defesa,2,False
239,5,1,Superior Esquerda,8.6,98.8,Rectaguarda,Pivot,39,2ºT,153,Golo,5,False
240,5,2,Superior Centro,8.1,104.9,Penetração,Central,43,2ºT,67,Golo,2,False
241,5,8,Inferior Centro,8.1,104.4,Rectaguarda,Lateral Esquerdo,5,1ºT,140,Defesa,-5,False
242,5,8,Inferior Centro,9.7,109.4,Contra-ataque,Central,17,1ºT,148,Golo,1,False
243,5,6,Média Direita,7.0,92.3,Apoio,Pivot,36,2ºT,131,Defesa,-1,False
244,5,6,Média Direita,9.6,111.2,Contra-ataque,Lateral Direito,42,2ºT,23,Defesa,0,True
245,5,8,Inferior Centro,6.7,89.8,Apoio,Lateral Direito,13,1ºT,91,Golo,5,False
246,5,8,Inferior Centro,7.0,97.3,7 metros,Pivot,49,2ºT,76,Defesa,4,False
247,5,8,Inferior Centro,6.5,95.0,Penetração,Extremo Direito,52,2ºT,88,Golo,-5,False
248,5,1,Superior Esquerda,8.6,102.5,Suspensão,Central,22,1ºT,97,Golo,-2,True
249,5,6,Média Direita,6.5,87.5,Apoio,Extremo Esquerdo,37,2ºT,139,Defesa,4,False
250,5,6,Média Direita,7.0,88.3,7 metros,Extremo Esquerdo,26,1ºT,103,Golo,4,False
251,5,3,Superior Direita,7.8,117.0,Penetração,Extremo Direito,13,1ºT,113,Defesa,-4,False
252,5,7,Inferior Esquerda,7.8,114.4,Rectaguarda,Pivot,48,2ºT,163,Golo,2,False
253,5,2,Superior Centro,10.0,92.0,Contra-ataque,Central,6,1ºT,82,Defesa,3,False
254,5,7,Inferior Esquerda,7.4,111.6,Suspensão,Extremo Direito,26,1ºT,159,Golo,0,False
255,5,7,Inferior Esquerda,8.3,86.1,Rectaguarda,Lateral Esquerdo,11,1ºT,141,Defesa,1,False
256,5,3,Superior Direita,9.0,94.4,Suspensão,Extremo Direito,13,1ºT,106,Golo,-4,False
257,5,2,Superior Centro,9.9,114.6,Rectaguarda,Extremo Esquerdo,10,1ºT,13,Defesa,-4,False
258,5,5,Média Centro,8.1,114.4,Suspensão,Pivot,17,1ºT,79,Defesa,0,False
259,5,2,Superior Centro,10.0,116.1,Contra-ataque,Central,52,2ºT,96,Defesa,0,False
